CustomerKey;GeographyKey;Name;Age;MaritalStatus;Gender;YearlyIncome;TotalChildren;ChildrenAtHome;Education;Occupation;HouseOwnerFlag;NumberCarsOwned;DateFirstPurchase;CommuteDistance
11048;39;Jeremy Powell;68;Married;Male;30000,00;3;0;High School;Skilled Manual;1;2;2021-02-10;5-10 Miles
11049;307;Carol Rai;38;Single;Female;40000,00;0;0;Partial High School;Clerical;1;2;2023-03-09;5-10 Miles
11050;31;Alan Zheng;67;Married;Male;30000,00;3;0;High School;Skilled Manual;1;2;2021-02-20;5-10 Miles
11051;21;Daniel Johnson;67;Single;Male;30000,00;3;0;High School;Skilled Manual;0;2;2023-12-29;1-2 Miles
11052;8;Heidi Lopez;67;Single;Female;40000,00;2;0;Partial College;Clerical;0;2;2021-02-17;5-10 Miles
11053;359;Ana Price;38;Married;Female;60000,00;0;0;Partial College;Skilled Manual;0;2;2023-01-17;1-2 Miles
11054;34;Deanna Munoz;67;Married;Female;40000,00;2;0;Partial College;Skilled Manual;1;2;2021-02-03;5-10 Miles
11055;22;Gilbert Raje;67;Married;Male;40000,00;2;0;Partial College;Skilled Manual;1;2;2021-01-31;5-10 Miles
11056;10;Michele Nath;66;Married;Female;40000,00;3;0;Partial College;Skilled Manual;1;2;2021-02-26;5-10 Miles
11057;5;Carl Andersen;54;Married;Male;70000,00;2;0;Graduate Degree;Management;1;2;2021-02-22;1-2 Miles
11058;29;Marc Diaz;59;Married;Male;80000,00;2;0;Partial College;Skilled Manual;1;2;2021-03-09;1-2 Miles
11059;27;Ashlee Andersen;65;Single;Female;80000,00;2;0;Partial College;Skilled Manual;1;2;2023-02-18;5-10 Miles
11060;40;Jon Zhou;65;Married;Male;80000,00;2;0;Partial College;Skilled Manual;1;2;2021-03-19;5-10 Miles
11061;23;Todd Gao;48;Married;Male;80000,00;2;0;Partial College;Skilled Manual;1;2;2021-03-13;5-10 Miles
11062;547;Noah Powell;43;Married;Male;40000,00;0;0;High School;Skilled Manual;1;2;2023-01-07;5-10 Miles
11063;634;Angela Murphy;44;Single;Female;40000,00;0;0;High School;Skilled Manual;1;2;2023-01-12;5-10 Miles
11064;315;Chase Reed;43;Married;Male;40000,00;0;0;High School;Skilled Manual;1;2;2023-01-25;5-10 Miles
11065;331;Jessica Henderson;45;Married;Female;60000,00;0;0;Partial College;Skilled Manual;0;2;2023-02-10;1-2 Miles
11066;543;Grace Butler;45;Married;Female;70000,00;0;0;Partial College;Professional;1;2;2023-05-31;5-10 Miles
11067;632;Caleb Carter;42;Single;Male;60000,00;0;0;Partial College;Professional;1;2;2023-08-18;5-10 Miles
11068;40;Tiffany Liang;58;Single;Female;80000,00;2;0;High School;Skilled Manual;1;2;2023-04-30;5-10 Miles
11069;23;Carolyn Navarro;58;Single;Female;80000,00;2;0;High School;Skilled Manual;0;2;2021-04-17;1-2 Miles
11070;39;Willie Raji;64;Married;Male;80000,00;2;0;High School;Skilled Manual;1;2;2021-04-28;5-10 Miles
11071;24;Linda Serrano;64;Single;Female;80000,00;2;0;High School;Skilled Manual;1;2;2023-03-01;5-10 Miles
11072;17;Casey Luo;64;Single;Female;80000,00;2;0;High School;Skilled Manual;0;2;2021-03-31;1-2 Miles
11073;16;Amy Ye;62;Single;Female;70000,00;2;0;High School;Skilled Manual;1;2;2023-03-23;5-10 Miles
11074;28;Levi Arun;62;Single;Male;70000,00;2;0;High School;Skilled Manual;1;2;2023-03-23;5-10 Miles
11075;32;Felicia Jimenez;61;Single;Female;80000,00;2;0;High School;Professional;1;2;2021-04-28;5-10 Miles
11076;19;Blake Anderson;61;Single;Male;80000,00;2;0;High School;Professional;1;2;2021-04-21;5-10 Miles
11077;36;Leah Ye;61;Single;Female;80000,00;2;0;High School;Professional;0;2;2021-04-15;1-2 Miles
11078;49;Gina Martin;39;Single;Female;40000,00;0;0;High School;Professional;0;2;2023-02-15;1-2 Miles
11079;34;Donald Gonzalez;54;Single;Male;160000,00;0;0;Graduate Degree;Management;1;2;2023-03-15;0-1 Miles
11080;30;Damien Chander;59;Married;Male;170000,00;0;0;Graduate Degree;Management;1;2;2021-04-10;0-1 Miles
11081;311;Savannah Baker;52;Married;Female;120000,00;2;2;Bachelors;Management;1;3;2023-02-12;2-5 Miles
11082;322;Angela Butler;52;Single;Female;130000,00;0;1;Graduate Degree;Management;0;3;2023-01-22;1-2 Miles
11083;336;Alyssa Cox;47;Married;Female;130000,00;0;1;Graduate Degree;Management;1;3;2023-01-06;1-2 Miles
11084;543;Lucas Phillips;61;Single;Male;80000,00;2;0;Partial High School;Skilled Manual;0;2;2023-01-04;1-2 Miles
11085;345;Emily Johnson;61;Single;Female;60000,00;2;0;High School;Professional;0;2;2023-12-06;5-10 Miles
11086;369;Ryan Brown;61;Married;Male;70000,00;2;1;Partial College;Professional;1;0;2023-07-02;0-1 Miles
11087;307;Tamara Liang;61;Married;Female;70000,00;3;2;Partial College;Professional;0;0;2023-02-25;0-1 Miles
11088;359;Hunter Davis;61;Married;Male;80000,00;2;1;Bachelors;Management;1;0;2023-01-13;2-5 Miles
11089;337;Abigail Price;62;Single;Female;80000,00;2;1;Bachelors;Management;1;1;2022-12-29;2-5 Miles
11090;338;Trevor Bryant;56;Single;Male;90000,00;2;0;Partial College;Professional;1;1;2021-08-07;2-5 Miles
11091;50;Dalton Perez;62;Married;Male;90000,00;2;0;Partial College;Professional;1;1;2023-01-29;5-10 Miles
11092;22;Cheryl Diaz;52;Married;Female;90000,00;2;2;Bachelors;Professional;1;0;2021-04-08;1-2 Miles
11093;19;Aimee He;46;Married;Female;100000,00;0;0;Graduate Degree;Management;1;0;2021-04-07;0-1 Miles
11094;33;Cedric Ma;57;Single;Male;70000,00;1;0;Partial College;Skilled Manual;0;1;2023-04-07;0-1 Miles
11095;13;Chad Kumar;56;Single;Male;70000,00;1;0;Partial College;Skilled Manual;1;1;2021-04-01;5-10 Miles
11096;12;Andrés Anand;56;Married;Male;60000,00;1;0;Bachelors;Professional;1;1;2021-04-11;5-10 Miles
11097;40;Edwin Nara;52;Married;Male;60000,00;1;0;Partial College;Skilled Manual;1;1;2021-04-04;5-10 Miles
11098;14;Mallory Rubio;58;Single;Female;60000,00;1;0;Partial College;Skilled Manual;0;1;2023-02-11;0-1 Miles
11099;13;Adam Ross;58;Married;Male;60000,00;1;0;Bachelors;Professional;1;1;2021-04-07;0-1 Miles
11100;28;Latasha Navarro;58;Single;Female;60000,00;1;0;Partial College;Skilled Manual;1;1;2021-04-16;5-10 Miles
11101;33;Abby Sai;54;Single;Female;70000,00;0;0;Bachelors;Professional;0;1;2021-04-29;0-1 Miles
11102;18;Julia Nelson;54;Single;Female;80000,00;5;5;Bachelors;Professional;1;4;2023-07-16;1-2 Miles
11103;3;Cassie Chande;43;Single;Female;70000,00;0;0;Bachelors;Professional;1;1;2021-04-15;5-10 Miles
11104;23;Edgar Sara;49;Married;Male;70000,00;0;0;Bachelors;Professional;0;1;2021-05-04;0-1 Miles
11105;8;Candace Fernandez;54;Single;Female;70000,00;0;0;Bachelors;Professional;0;1;2021-05-14;5-10 Miles
11106;40;Jessie Liu;54;Single;Male;70000,00;0;0;Bachelors;Professional;0;1;2021-05-18;5-10 Miles
11107;17;Bianca Lin;48;Married;Female;90000,00;1;0;Bachelors;Professional;1;1;2021-05-01;5-10 Miles
11108;13;Kari Alvarez;55;Single;Female;70000,00;0;0;Bachelors;Professional;0;2;2021-05-03;0-1 Miles
11109;38;Ruben Kapoor;44;Single;Male;70000,00;0;0;Bachelors;Professional;0;2;2021-05-10;0-1 Miles
11110;3;Curtis Yang;57;Married;Male;60000,00;1;0;Partial College;Skilled Manual;1;1;2021-05-01;5-10 Miles
11111;34;Meredith Gutierrez;57;Married;Female;60000,00;1;0;Partial College;Skilled Manual;1;1;2021-05-20;0-1 Miles
11112;25;Crystal Wang;56;Married;Female;60000,00;1;0;Partial College;Skilled Manual;1;1;2021-05-25;0-1 Miles
11113;30;Micheal Blanco;51;Married;Male;70000,00;5;4;Bachelors;Professional;1;2;2023-02-01;5-10 Miles
11114;14;Leslie Moreno;57;Single;Female;70000,00;5;4;Partial College;Skilled Manual;1;2;2023-03-18;5-10 Miles
11115;17;Alvin Cai;57;Married;Male;70000,00;5;4;Partial College;Skilled Manual;1;2;2023-02-10;0-1 Miles
11116;18;Clinton Carlson;45;Married;Male;70000,00;5;4;Partial College;Skilled Manual;1;2;2023-03-15;5-10 Miles
11117;8;April Deng;58;Married;Female;70000,00;5;4;Partial College;Skilled Manual;1;3;2021-05-06;10+ Miles
11118;6;Alvin Zeng;62;Single;Male;80000,00;1;0;Partial College;Skilled Manual;0;1;2023-07-10;0-1 Miles
11119;13;Evan James;84;Single;Male;30000,00;2;0;Partial College;Clerical;0;2;2023-02-03;0-1 Miles
11120;18;Beth Jiménez;82;Single;Female;40000,00;2;0;Bachelors;Management;1;1;2021-05-14;5-10 Miles
11121;10;Orlando Suarez;58;Married;Male;70000,00;5;4;Partial College;Skilled Manual;1;3;2023-06-24;10+ Miles
11122;12;Byron Vazquez;59;Married;Male;70000,00;5;4;Partial College;Skilled Manual;1;3;2023-02-21;5-10 Miles
11123;39;Philip Alvarez;59;Married;Male;70000,00;5;4;Partial College;Skilled Manual;1;3;2023-04-17;10+ Miles
11124;40;Ross Jordan;56;Single;Male;80000,00;1;0;Partial College;Skilled Manual;1;1;2021-05-05;5-10 Miles
11125;37;Dana Navarro;63;Single;Female;70000,00;1;0;Partial College;Skilled Manual;1;1;2023-01-31;5-10 Miles
11126;11;Shaun Carson;70;Married;Male;10000,00;2;1;High School;Skilled Manual;0;2;2021-05-28;0-1 Miles
11127;361;Jan Edwards;43;Married;Female;40000,00;0;0;High School;Skilled Manual;1;1;2023-04-10;5-10 Miles
11128;635;Samantha Long;43;Married;Female;40000,00;0;0;High School;Skilled Manual;1;1;2023-06-19;5-10 Miles
11129;638;Julia Wright;43;Single;Female;40000,00;0;0;High School;Skilled Manual;1;1;2021-08-06;5-10 Miles
11130;543;Caroline Russell;39;Married;Female;30000,00;0;0;High School;Skilled Manual;1;2;2023-12-09;5-10 Miles
11131;50;Amanda Rivera;39;Married;Female;30000,00;0;0;High School;Skilled Manual;0;2;2023-10-18;0-1 Miles
11132;51;Melissa Richardson;38;Single;Female;30000,00;0;0;High School;Skilled Manual;0;2;2023-04-09;5-10 Miles
11133;542;Angela Griffin;38;Single;Female;30000,00;0;0;Partial High School;Clerical;0;2;2023-12-30;0-1 Miles
11134;30;Larry Townsend;67;Single;Male;10000,00;5;0;High School;Skilled Manual;1;2;2021-05-03;5-10 Miles
11135;302;Marcus Harris;39;Single;Male;30000,00;0;0;Partial High School;Clerical;0;2;2023-04-18;5-10 Miles
11136;53;Brianna Morgan;40;Single;Female;40000,00;0;0;High School;Skilled Manual;0;2;2023-01-03;0-1 Miles
11137;641;Jasmine Taylor;40;Married;Female;40000,00;0;0;High School;Skilled Manual;1;2;2023-07-31;5-10 Miles
11138;325;Lauren Davis;40;Married;Female;40000,00;0;0;High School;Skilled Manual;0;2;2023-09-19;0-1 Miles
11139;28;Tanya Moreno;75;Single;Female;30000,00;2;0;Partial College;Clerical;0;2;2023-09-14;5-10 Miles
11140;301;Javier Alvarez;42;Single;Male;30000,00;0;0;Partial High School;Clerical;0;2;2023-03-19;5-10 Miles
11141;314;Nicole Ramirez;42;Married;Female;40000,00;0;0;High School;Skilled Manual;0;2;2023-05-16;0-1 Miles
11142;51;Eduardo Patterson;41;Single;Male;40000,00;0;0;High School;Skilled Manual;0;2;2023-02-13;0-1 Miles
11143;334;Jonathan Henderson;42;Married;Male;40000,00;0;0;High School;Skilled Manual;1;2;2023-06-15;5-10 Miles
11144;607;Edward Hernandez;39;Single;Male;40000,00;0;0;High School;Skilled Manual;0;2;2023-01-25;0-1 Miles
11145;536;Jasmine Coleman;39;Single;Female;40000,00;0;0;High School;Skilled Manual;0;2;2023-01-25;0-1 Miles
11146;8;Karla Goel;79;Single;Female;40000,00;2;0;Bachelors;Management;1;2;2023-02-05;5-10 Miles
11147;40;Ernest Wu;80;Married;Male;60000,00;2;0;Graduate Degree;Management;1;1;2021-05-13;0-1 Miles
11148;22;Ross Vazquez;77;Married;Male;40000,00;2;0;Bachelors;Management;1;2;2023-03-07;5-10 Miles
11149;25;Theodore Gill;78;Married;Male;40000,00;2;0;Bachelors;Management;1;2;2023-06-04;0-1 Miles
11150;39;Russell Shen;78;Single;Male;40000,00;2;0;Bachelors;Management;1;2;2023-03-27;5-10 Miles
11151;18;Melinda Gill;77;Single;Female;60000,00;2;0;Graduate Degree;Management;0;1;2021-05-15;0-1 Miles
11152;633;James Williams;43;Single;Male;40000,00;0;0;High School;Skilled Manual;1;2;2023-01-09;5-10 Miles
11153;635;Angela James;43;Married;Female;40000,00;0;0;High School;Skilled Manual;1;2;2023-03-29;5-10 Miles
11154;553;Megan Walker;42;Single;Female;40000,00;0;0;Partial College;Skilled Manual;1;1;2023-01-10;5-10 Miles
11155;301;Hunter Robinson;43;Single;Male;40000,00;0;0;Partial College;Skilled Manual;0;1;2023-01-06;1-2 Miles
11156;334;Maria Roberts;43;Single;Female;40000,00;0;0;Partial College;Skilled Manual;0;1;2023-01-08;1-2 Miles
11157;642;Hannah Long;44;Married;Female;40000,00;0;0;High School;Skilled Manual;1;2;2023-07-24;5-10 Miles
11158;361;Jason Wright;43;Single;Male;40000,00;0;0;High School;Skilled Manual;1;2;2023-01-19;5-10 Miles
11159;385;Brianna Hughes;43;Single;Female;40000,00;0;0;High School;Skilled Manual;0;2;2023-09-08;1-2 Miles
11160;311;Maurice Tang;45;Single;Male;40000,00;0;0;Partial College;Skilled Manual;0;1;2023-02-21;5-10 Miles
11161;311;Emily Wood;45;Single;Female;40000,00;0;0;Partial College;Skilled Manual;0;1;2023-06-01;1-2 Miles
11162;331;Chase Cox;45;Single;Male;40000,00;0;0;Partial College;Skilled Manual;1;1;2023-02-18;5-10 Miles
11163;372;Gabriel Wang;44;Married;Male;40000,00;0;0;Partial College;Skilled Manual;1;1;2023-05-01;5-10 Miles
11164;374;Devin Brooks;45;Single;Male;40000,00;0;0;Partial College;Skilled Manual;0;1;2023-04-27;1-2 Miles
11165;348;Jocelyn Alexander;45;Married;Female;60000,00;0;0;Partial College;Skilled Manual;0;1;2023-05-25;1-2 Miles
11166;631;Ashley Martinez;47;Single;Female;70000,00;0;0;Partial College;Skilled Manual;0;2;2023-10-14;0-1 Miles
11167;618;Jasmine Barnes;46;Single;Female;80000,00;0;0;Bachelors;Management;0;1;2023-01-07;0-1 Miles
11168;348;David Rodriguez;51;Single;Male;80000,00;0;0;Bachelors;Management;0;1;2023-01-15;0-1 Miles
11169;312;Bryce Richardson;51;Married;Male;90000,00;4;4;Bachelors;Management;1;1;2023-05-26;0-1 Miles
11170;612;Carol Howard;51;Married;Female;90000,00;4;4;Bachelors;Management;1;1;2023-08-26;0-1 Miles
11171;385;Jonathan Hill;46;Single;Male;100000,00;1;0;Bachelors;Management;1;2;2021-08-20;1-2 Miles
11172;626;Gabrielle Adams;51;Married;Female;100000,00;1;0;Bachelors;Management;1;2;2023-05-03;1-2 Miles
11173;552;Sarah Thomas;51;Single;Female;110000,00;0;0;Graduate Degree;Management;0;4;2023-03-02;0-1 Miles
11174;338;Nicholas Robinson;51;Married;Male;110000,00;0;1;Graduate Degree;Management;1;0;2023-07-13;2-5 Miles
11175;300;Luis Wang;56;Single;Male;70000,00;0;0;Partial College;Skilled Manual;1;2;2021-08-28;5-10 Miles
11176;50;Mason Roberts;45;Married;Male;90000,00;4;4;Bachelors;Management;1;1;2023-02-02;1-2 Miles
11177;359;Jose Flores;76;Married;Male;110000,00;2;4;Graduate Degree;Management;1;2;2023-03-29;5-10 Miles
11178;334;Nathan Johnson;70;Married;Male;100000,00;2;3;Graduate Degree;Management;1;3;2023-02-21;1-2 Miles
11179;300;Molly Rodriguez;65;Married;Female;120000,00;2;4;Graduate Degree;Management;1;3;2023-03-12;5-10 Miles
11180;307;April Anand;76;Married;Female;160000,00;1;3;Bachelors;Management;1;4;2023-03-17;0-1 Miles
11181;338;Devin Martin;64;Married;Male;170000,00;2;3;Graduate Degree;Management;1;2;2023-05-07;0-1 Miles
11182;638;Stephanie Torres;74;Single;Female;70000,00;4;0;Bachelors;Management;1;2;2023-08-28;10+ Miles
11183;368;Jasmine Lee;74;Single;Female;70000,00;4;0;Bachelors;Management;1;2;2023-04-30;10+ Miles
11184;311;Meghan Hernandez;69;Single;Female;70000,00;4;0;Bachelors;Management;1;2;2023-08-10;10+ Miles
11185;53;Ashley Henderson;74;Single;Female;70000,00;4;0;Bachelors;Management;1;2;2023-02-21;10+ Miles
11186;352;Sarah Price;75;Single;Female;70000,00;4;0;Bachelors;Management;1;2;2023-10-18;10+ Miles
11187;612;Jennifer Cooper;75;Married;Female;60000,00;4;0;Graduate Degree;Management;1;2;2023-04-03;10+ Miles
11188;361;Catherine Morris;74;Married;Female;60000,00;4;0;Graduate Degree;Management;0;2;2023-11-01;1-2 Miles
11189;609;Lawrence Blanco;74;Single;Male;60000,00;4;0;Graduate Degree;Management;1;2;2021-08-26;10+ Miles
11190;300;Carson Bryant;75;Married;Male;70000,00;5;0;Bachelors;Management;1;2;2023-08-28;10+ Miles
11191;310;Kristi Perez;73;Single;Female;70000,00;5;0;Bachelors;Management;1;3;2021-08-11;10+ Miles
11192;637;James Brown;73;Married;Male;60000,00;4;0;Bachelors;Management;1;2;2023-06-23;2-5 Miles
11193;553;Ian Gray;74;Married;Male;60000,00;4;0;Bachelors;Management;1;2;2023-02-25;2-5 Miles
11194;352;Jacqueline Price;74;Married;Female;60000,00;4;0;Bachelors;Management;1;2;2023-03-13;2-5 Miles
11195;635;Megan Henderson;73;Married;Female;60000,00;5;0;Bachelors;Management;1;3;2023-04-14;10+ Miles
11196;536;Alfredo Romero;73;Married;Male;60000,00;5;0;Bachelors;Management;1;3;2023-03-03;10+ Miles
11197;637;Andrea Morris;73;Married;Female;70000,00;3;1;Bachelors;Management;0;1;2023-05-02;1-2 Miles
11198;368;Brooke Sanders;72;Single;Female;70000,00;4;1;Bachelors;Management;1;1;2023-02-05;10+ Miles
11199;302;Jacqueline Bennett;67;Married;Female;70000,00;4;1;Bachelors;Management;1;1;2023-03-18;10+ Miles
11200;69;Jason Griffin;71;Married;Male;70000,00;4;1;Bachelors;Management;1;1;2023-02-07;1-2 Miles
11201;369;Amanda Foster;71;Married;Female;70000,00;4;1;Bachelors;Management;1;1;2023-07-01;10+ Miles
11202;334;Alexia Price;66;Married;Female;80000,00;5;0;Bachelors;Management;0;2;2023-09-15;1-2 Miles
11203;60;Luis Diaz;65;Married;Male;40000,00;2;1;High School;Professional;1;2;2023-02-20;10+ Miles
11204;536;Destiny Rivera;71;Married;Female;40000,00;2;1;High School;Professional;1;2;2023-08-09;2-5 Miles
11205;612;Abby Fernandez;70;Married;Female;40000,00;2;1;High School;Professional;1;2;2023-07-27;10+ Miles
11206;626;Blake Flores;70;Married;Male;60000,00;2;1;Partial College;Professional;1;1;2023-05-11;10+ Miles
11207;635;Danielle Cox;70;Single;Female;60000,00;2;1;Partial College;Professional;1;1;2023-01-31;10+ Miles
11208;325;Maria Reed;71;Married;Female;60000,00;2;1;Bachelors;Management;1;0;2023-03-04;10+ Miles
11209;336;Allison Evans;71;Married;Female;60000,00;2;1;Bachelors;Management;1;0;2023-03-25;10+ Miles
11210;383;Edward Wood;71;Married;Male;70000,00;4;1;Partial College;Professional;1;2;2023-05-06;10+ Miles
11211;50;Samantha Russell;64;Married;Female;40000,00;2;1;High School;Professional;1;2;2023-02-01;2-5 Miles
11212;53;Chloe Campbell;69;Married;Female;40000,00;2;1;High School;Professional;1;2;2023-01-30;2-5 Miles
11213;614;Stephanie Murphy;70;Single;Female;60000,00;2;1;Partial College;Professional;1;2;2023-03-28;10+ Miles
11214;545;Charles Miller;69;Single;Male;60000,00;2;1;Partial College;Professional;1;2;2023-08-14;10+ Miles
11215;62;Ana Perry;63;Married;Female;40000,00;2;1;Partial High School;Skilled Manual;1;2;2023-02-15;10+ Miles
11216;547;Jasmine Torres;69;Single;Female;60000,00;2;1;Partial College;Professional;1;2;2021-08-15;10+ Miles
11217;547;Natalie Adams;69;Single;Female;60000,00;2;1;Partial College;Professional;1;2;2021-08-10;10+ Miles
11218;642;Olivia Brown;63;Single;Female;60000,00;2;1;Partial College;Professional;0;2;2023-02-28;2-5 Miles
11219;553;Charles Cook;68;Married;Male;60000,00;2;1;High School;Professional;1;2;2023-10-29;10+ Miles
11220;310;Erica Huang;63;Married;Female;60000,00;2;1;Partial College;Professional;1;1;2023-03-14;10+ Miles
11221;334;Nathan Perry;69;Married;Male;70000,00;4;2;Partial College;Professional;1;1;2023-04-07;1-2 Miles
11222;369;Alexandra Rivera;68;Married;Female;80000,00;3;1;Bachelors;Management;1;1;2023-11-01;1-2 Miles
11223;52;Hailey Patterson;67;Single;Female;70000,00;2;1;High School;Professional;1;2;2023-01-29;2-5 Miles
11224;612;Tiffany Li;67;Single;Female;70000,00;2;1;High School;Professional;1;2;2021-08-07;10+ Miles
11225;635;Madison Lee;62;Married;Female;60000,00;2;1;Partial College;Professional;1;1;2023-06-22;10+ Miles
11226;552;Sydney Ross;62;Married;Female;60000,00;2;1;Partial College;Professional;1;1;2023-02-21;2-5 Miles
11227;310;Marshall Chavez;62;Single;Male;60000,00;2;1;Partial College;Professional;1;2;2021-08-03;10+ Miles
11228;316;Ashley Jones;68;Married;Female;60000,00;2;1;Partial College;Professional;1;2;2023-10-25;10+ Miles
11229;355;Adrian Stewart;67;Single;Male;70000,00;4;2;Partial College;Professional;1;1;2023-07-27;10+ Miles
11230;369;Amber Turner;68;Married;Female;70000,00;4;2;Partial College;Professional;0;2;2023-07-16;2-5 Miles
